Ticket_ID,Customer_ID,Agent_Name,Repair_Issue,Repair_Date,Part_Replaced,Model_Name,Laptop_Serial_Number
23,1813,Bhavani Kuruvilla,Audio issue,6/3/2024,Speakers,dell latitude 5500,O4KROK1K
24,472,Jeevika Kapur,Screen replacement,11/26/2024,Screen,dell latitude 5500,6O7KBR7M
25,1816,Mitesh Nori,Screen replacement,9/2/2024,Screen,dell vostro 14,F9NG23LK
26,1901,Gaurang Ramanathan,Audio issue,7/15/2022,Speakers,dell inspiron 15,LSAYYP31
27,106,Bhavani Kuruvilla,Overheating problem,12/23/2024,Cooling Fan,dell vostro 14,LK4AKRWY
28,164,,Audio issue,8/1/2022,Speakers,dell inspiron 15,0HG5URKQ
29,1704,Geetika Dass,Overheating problem,3/18/2023,Cooling Fan,dell latitude 5500,3MJR0QTJ
30,759,Harinakshi Vig,Screen replacement,3/2/2024,Screen,dell alienware 17,8HMCWUD4
31,452,Bhavna Chaudhuri,Battery replacement,10/26/2024,Battery,dell inspiron 15,3GP2EIRB
32,1424,,Keyboard issue,1/21/2022,Keyboard,dell alienware 17,70D12ABY
33,715,Mitesh Nori,Keyboard issue,5/23/2022,Keyboard,dell alienware 17,X9Z4UTA7
34,1385,Chakradhar Dua,Screen replacement,1/6/2024,Screen,dell latitude 5500,1E06U6JF
25,232,Ryan Ramakrishnan,,11/4/2023,,dell alienware 17,MS5HBJRR
36,1536,Aadi Prabhakar,Screen replacement,2/25/2023,Screen,dell vostro 14,GVJXINHN
37,1076,Chatura Sami,Overheating problem,2/29/2024,Cooling Fan,dell vostro 14,4I4GI18M
38,1565,,Audio issue,3/21/2023,Speakers,dell alienware 17,Z0GL7VXF
39,457,Ojas Purohit,Screen replacement,10/19/2024,Screen,dell latitude 5500,C186ZG1H
40,310,Baljiwan Talwar,Battery replacement,,Battery,dell inspiron 15,FW7L6Q0M
41,1313,Advaith Bumb,Battery replacement,12/3/2024,Battery,dell vostro 14,88N8S84M
42,1400,,Overheating problem,4/1/2022,Cooling Fan,DELL XPS 13,5WH0LGA0
43,1243,Oviya Bhakta,Keyboard issue,6/30/2023,Keyboard,DELL INSPIRON 15,N5X30FM2
44,1348,Umang Mukhopadhyay,Audio issue,10/2/2023,Speakers,dell xps 13,BOIJ4XX3
45,1530,Leela Nazareth,Audio issue,10/8/2024,Speakers,dell xps 13,8YB5XXCD
46,338,,,9/8/2022,,dell alienware 17,1YRYER9U
47,1372,Yashica Kota,Overheating problem,8/20/2024,Cooling Fan,DELL INSPIRON 15,5WH0LGA0
48,640,Pooja Parmar,Keyboard issue,9/14/2023,Keyboard,dell alienware 17,ENAHLY0P
19,853,Jeevika Kapur,Screen replacement,2/23/2024,Screen,dell alienware 17,H2AQV2NJ
50,1456,Ojas Purohit,Audio issue,9/10/2022,Speakers,dell vostro 14,PQEYYO8B
51,1229,Ryan Ramakrishnan,Audio issue,12/8/2024,Speakers,dell alienware 17,QKFCSCIN
52,391,Bachittar Purohit,Screen replacement,12/7/2023,Screen,dell xps 13,SW42E38X
53,89,Nachiket Ahuja,Screen replacement,9/23/2023,Screen,dell vostro 14,PX43B2LK
54,742,Vanya Bhattacharyya,Overheating problem,5/1/2023,Cooling Fan,dell inspiron 15,YHD7ENK6
55,1126,Daksha Agarwal,Keyboard issue,5/31/2024,Keyboard,dell alienware 17,AERVLJZV
36,965,Devika Setty,Overheating problem,4/9/2022,Cooling Fan,dell alienware 17,ENAHLY0P
57,110,Ojas Purohit,Audio issue,4/4/2022,Speakers,dell inspiron 15,GGD9RCSV
58,1526,Chatura Sami,Battery replacement,2/25/2024,Battery,dell vostro 14,OWOO34PQ
59,545,Ishwar Krish,Keyboard issue,2/11/2023,Keyboard,dell xps 13,3TT72TP8
60,110,Victor Sinha,Screen replacement,8/20/2024,Screen,dell vostro 14,FZSHLF7P
61,1938,Baljiwan Talwar,Keyboard issue,5/28/2024,Keyboard,dell alienware 17,J25RVIOY
62,966,Indira Banerjee,Keyboard issue,11/6/2023,Keyboard,dell inspiron 15,AN5QUG0K
63,474,Geetika Dass,Battery replacement,5/22/2023,Battery,dell alienware 17,GGD9RCSV
64,72,Ishani Nagar,Overheating problem,11/11/2022,Cooling Fan,dell latitude 5500,VXMK1Q5F
65,1643,Yug Varghese,Battery replacement,8/9/2023,Battery,dell xps 13,PW7F2PI5
66,835,Manthan Brahmbhatt,Screen replacement,10/7/2022,Screen,dell latitude 5500,VCFZ2X1B
67,1506,Reyansh Kalita,Battery replacement,9/12/2024,Battery,dell latitude 5500,DAKY81HQ
68,108,Devika Sankaran,Screen replacement,,Screen,dell latitude 5500,FZ6N8D1A
69,1923,Vanya Dayal,Keyboard issue,10/19/2022,Keyboard,dell inspiron 15,FUYUYKGT
70,447,Bhavna Chaudhuri,,5/5/2022,,dell inspiron 15,8UPZK04Y
71,164,Victor Sinha,Keyboard issue,8/7/2023,Keyboard,dell inspiron 15,Q19OQ1W6
18,1640,Nidhi Baral,Audio issue,7/10/2023,Speakers,dell inspiron 15,TYXXAY0Z
73,537,Victor Sinha,Audio issue,,Speakers,dell xps 13,ILQT263U
74,1934,Ryan Ramakrishnan,Audio issue,8/16/2024,Speakers,dell inspiron 15,MRH8OQOS
75,661,Gopal Issac,Screen replacement,1/30/2022,Screen,dell vostro 14,8MDISZMB
76,1353,Indira Mandal,Overheating problem,1/25/2023,Cooling Fan,dell vostro 14,YRZIHUFC
77,822,Harinakshi Mukherjee,,1/26/2024,,dell alienware 17,PL0XO4JF
78,698,Zaitra Tiwari,Overheating problem,11/6/2022,Cooling Fan,dell alienware 17,B56VAKBZ
79,1138,Bhavini Manne,Keyboard issue,3/1/2023,Keyboard,dell latitude 5500,7LFC3RWE
80,1403,Daksha Agarwal,Screen replacement,1/25/2023,Screen,dell xps 13,LKOC7JE0
81,702,Vanya Bhattacharyya,Overheating problem,,Cooling Fan,dell latitude 5500,QGIRO268
82,536,Tamanna Soni,Battery replacement,,Battery,dell latitude 5500,ZIS576AG
83,369,Tamanna Soni,Battery replacement,,Battery,DELL VOSTRO 14,DERDOBPE
84,1179,Chakrika Bandi,Audio issue,10/7/2024,Speakers,dell xps 13,RI6TTS0C
85,478,Mekhala Bhargava,Battery replacement,12/8/2024,Battery,dell inspiron 15,NKD0BD64
86,420,Indira Mandal,Screen replacement,10/7/2022,Screen,DELL ALIENWARE 17,1Y0NXMYP
87,355,Peter Narain,Battery replacement,2/7/2024,Battery,dell inspiron 15,7FN8OYGL
88,1380,Bhavani Kuruvilla,Screen replacement,6/26/2024,Screen,dell vostro 14,FPY56LNS
89,1270,Baljiwan Talwar,Screen replacement,8/25/2022,Screen,dell xps 13,FUHEFLHZ
8,859,Aradhana Varghese,Screen replacement,11/4/2024,Screen,dell inspiron 15,80ZR7VJ0
91,1095,Kashvi Nagi,Overheating problem,7/13/2022,Cooling Fan,dell inspiron 15,UUF9SB8I
92,723,Vasana Shroff,Audio issue,9/12/2022,Speakers,dell vostro 14,AF2J13B1
93,631,Peter Narain,Overheating problem,5/17/2022,Cooling Fan,dell inspiron 15,SXDOUALG
94,1702,Abha Dayal,Screen replacement,1/27/2024,Screen,DELL VOSTRO 14,F2950UNJ
95,1070,Vasatika Rao,,4/14/2024,,dell alienware 17,K5WJ9M8Y
96,379,Harinakshi Vig,Battery replacement,7/23/2022,Battery,dell alienware 17,INCPCG5O
97,710,Vanya Dayal,Keyboard issue,8/24/2023,Keyboard,dell alienware 17,L0YXB592
98,998,Ekavir Singhal,Screen replacement,4/22/2023,Screen,dell alienware 17,CPIBS4RM
99,1228,Vanya Bhattacharyya,Audio issue,1/11/2023,Speakers,dell xps 13,8HMCWUD4
100,1207,Unnati Mandal,Audio issue,3/27/2024,Speakers,dell inspiron 15,DR4MUTAF
101,292,Ishani Nagar,Battery replacement,1/25/2024,Battery,dell alienware 17,PQEYYO8B
102,1374,Jyoti Chacko,Screen replacement,7/22/2024,Screen,dell xps 13,ZR5PCM2L
103,812,Onveer Ramaswamy,Screen replacement,2/28/2024,Screen,dell alienware 17,VE3R1KJV
104,1051,Rachana Ramakrishnan,Audio issue,8/14/2022,Speakers,dell inspiron 15,XSUMEE18
105,949,Ojas Kashyap,Audio issue,,Speakers,DELL XPS 13,QQSMUIIG
106,34,Jacob Lall,Screen replacement,4/16/2023,Screen,dell alienware 17,RZ5PUMUT
107,148,Shravya Das,Keyboard issue,3/21/2022,Keyboard,dell vostro 14,53TPHCTV
108,284,Rachana Ramakrishnan,Battery replacement,4/7/2022,Battery,dell vostro 14,AERVLJZV
109,1024,Pavani Sanghvi,Overheating problem,8/4/2024,Cooling Fan,dell xps 13,316N27EP
110,1660,Victor Soman,Screen replacement,12/31/2022,Screen,dell alienware 17,HTCVP1T3
111,981,Reyansh Kalita,Screen replacement,10/15/2024,Screen,DELL LATITUDE 5500,D4VT7JGR
112,778,Sai Kohli,Screen replacement,11/9/2022,Screen,dell inspiron 15,3GP2EIRB
113,876,Ryan Ramakrishnan,Keyboard issue,7/16/2022,Keyboard,dell vostro 14,QF5Q0V5W
114,1084,Chakradhar Dua,,3/12/2022,,dell xps 13,WH8BYRHU
115,590,Onveer Ramaswamy,Keyboard issue,6/9/2023,Keyboard,dell latitude 5500,MB1RG3TA
116,180,Anvi Kata,Keyboard issue,4/18/2024,Keyboard,dell vostro 14,C8N89QSR
117,1747,Ucchal Barad,Audio issue,8/5/2023,Speakers,DELL LATITUDE 5500,HLHDGGIO
118,1522,Indira Banerjee,Keyboard issue,1/15/2024,Keyboard,dell latitude 5500,FK8N3UIZ
119,1427,Qushi Nath,Battery replacement,10/3/2022,Battery,dell xps 13,MUORO8EF
120,957,Anamika Bhargava,Battery replacement,1/10/2024,Battery,dell vostro 14,KMO7470D
121,222,Vaishnavi Dalal,Audio issue,7/29/2023,Speakers,dell vostro 14,QD8VTRM6
122,832,Shravya Das,Overheating problem,4/9/2024,Cooling Fan,dell vostro 14,7LFC3RWE
123,663,Pavani Sanghvi,Keyboard issue,2/15/2022,Keyboard,dell alienware 17,E5ZUUPXJ
124,240,Samaksh Sheth,Screen replacement,5/5/2022,Screen,dell vostro 14,U54I9UE5
125,1590,Chakrika Bandi,Audio issue,12/30/2024,Speakers,dell xps 13,GVJXINHN
126,312,Pooja Parmar,Audio issue,8/30/2023,Speakers,dell vostro 14,53CKU7HJ
127,1603,Nihal Tripathi,Audio issue,10/25/2022,Speakers,dell inspiron 15,8YSVNEQG
128,676,Devika Sankaran,Screen replacement,,Screen,dell vostro 14,SCY934V0
129,1132,Orinder Kale,Audio issue,3/31/2024,Speakers,DELL ALIENWARE 17,XAFEZVQE
130,1353,Vyanjana Bedi,Audio issue,2/6/2022,Speakers,dell latitude 5500,CQC3EI4Q
131,1844,Nidhi Baral,Battery replacement,6/13/2023,Battery,DELL XPS 13,38N5XGJJ
132,1905,Idika Dhaliwal,Battery replacement,8/18/2022,Battery,dell inspiron 15,IOWZMC8I
133,1310,Aadi Prabhakar,Battery replacement,8/29/2023,Battery,dell alienware 17,YC0FJFC8
134,556,Baljiwan Talwar,Keyboard issue,7/1/2022,Keyboard,dell latitude 5500,5I0Z7063
135,1658,Januja Varkey,Keyboard issue,5/16/2023,Keyboard,dell inspiron 15,UMZ5JL1A
136,1140,Zaitra Tiwari,Screen replacement,10/25/2022,Screen,DELL INSPIRON 15,25OJX782
137,1257,Chatura Sami,Overheating problem,10/21/2024,Cooling Fan,dell alienware 17,1R7FVH86
138,1798,,Battery replacement,,Battery,DELL VOSTRO 14,DSLKGHLM
139,1699,,Keyboard issue,2/1/2023,Keyboard,dell alienware 17,ERZ7D49T
140,1374,Victor Sinha,Audio issue,7/13/2024,Speakers,DELL LATITUDE 5500,YL0S1VAZ
141,646,Vasana Shroff,Battery replacement,9/22/2024,Battery,DELL XPS 13,VXG1WLHF
142,158,Baljiwan Talwar,Keyboard issue,6/14/2022,Keyboard,dell inspiron 15,N9XZMBD8
143,1391,Orinder Kale,Keyboard issue,2/13/2024,Keyboard,dell alienware 17,F79Z1VHA
144,1639,,Audio issue,2/18/2022,Speakers,dell latitude 5500,CA9G2DLG
145,1,Advaith Bumb,Overheating problem,12/31/2022,Cooling Fan,dell vostro 14,8DQ5STHQ
146,1121,Geetika Dass,Keyboard issue,3/5/2022,Keyboard,dell alienware 17,7U285NO9
147,317,Unnati Mandal,Overheating problem,2/14/2024,Cooling Fan,dell xps 13,ENSQ3H22
145,1220,Januja Varkey,Audio issue,3/22/2022,Speakers,dell vostro 14,7XL4HRWT
149,173,Devika Sankaran,Battery replacement,11/13/2024,Battery,dell xps 13,7HRR31AE
150,1444,Victor Sinha,Overheating problem,11/18/2022,Cooling Fan,dell vostro 14,0ELEA4VK
151,1513,Nidhi Baral,Overheating problem,1/28/2022,Cooling Fan,dell xps 13,386CIGVR
152,1840,Vaishnavi Dalal,Battery replacement,9/6/2022,Battery,dell xps 13,PQRVOXY7
153,1449,Tamanna Soni,Overheating problem,,Cooling Fan,dell alienware 17,HJLWMPA2
154,1610,Ryan Ramakrishnan,Overheating problem,8/17/2023,Cooling Fan,dell latitude 5500,KMO7470D
155,1942,Harinakshi Mukherjee,Screen replacement,2/12/2022,Screen,dell xps 13,OKNOGRMB
156,455,Unni Kashyap,Audio issue,4/23/2022,Speakers,dell xps 13,ZMNMP036
157,837,Harinakshi Mukherjee,Battery replacement,2/25/2024,Battery,dell alienware 17,UT40LU1A
2,670,Ishwar Krish,Overheating problem,11/19/2023,Cooling Fan,dell vostro 14,PUCS2WCS
159,1712,Yug Varghese,Keyboard issue,12/30/2024,Keyboard,dell alienware 17,V47N4ZS4
160,1243,Rajeshri Choudhary,Screen replacement,1/22/2023,Screen,dell inspiron 15,4URTWRSI
161,779,Ryan Ramakrishnan,Audio issue,1/26/2023,Speakers,dell xps 13,PB8MBFW9
162,1304,Rehaan Babu,Screen replacement,3/26/2023,Screen,dell latitude 5500,AJ8ABYZD
163,1209,Harinakshi Vig,Keyboard issue,6/16/2023,Keyboard,dell xps 13,SBXEM7DR
164,1597,Caleb Bhandari,Battery replacement,9/14/2023,Battery,dell xps 13,4WA0MC5I
165,1939,Gopal Issac,Audio issue,9/1/2023,Speakers,dell alienware 17,O5HRUMCQ
166,229,Bachittar Purohit,Battery replacement,12/22/2022,Battery,DELL INSPIRON 15,KL2ZKT6C
167,1387,Idika Dhaliwal,Audio issue,4/15/2022,Speakers,dell alienware 17,FEQ82XGP
168,586,Bhavna Chaudhuri,Overheating problem,10/12/2022,Cooling Fan,dell xps 13,8NS8EA7G
169,1932,Reyansh Kalita,Battery replacement,1/18/2024,Battery,DELL ALIENWARE 17,ITAQ6CWL
170,1301,Bachittar Purohit,,5/25/2022,,dell latitude 5500,MSJ1XOBS
171,1778,Maya Parsa,Audio issue,1/13/2025,Speakers,DELL XPS 13,DGAK4H4I
172,371,Baljiwan Talwar,Audio issue,11/2/2023,Speakers,dell alienware 17,YL0S1VAZ
173,981,Januja Varkey,Overheating problem,3/3/2023,Cooling Fan,dell latitude 5500,3ES8NQB0
174,1357,Ishani Nagar,Screen replacement,1/19/2025,Screen,dell vostro 14,0ZWL39XM
175,1467,Pavani Sanghvi,Battery replacement,11/15/2024,Battery,dell vostro 14,2LAK17V6
176,490,Ekavir Singhal,Audio issue,9/23/2024,Speakers,DELL ALIENWARE 17,ZUF5N42K
177,172,Shravya Das,Overheating problem,7/13/2024,Cooling Fan,dell vostro 14,04EU6PEE
178,1839,Vyanjana Bedi,Battery replacement,3/20/2023,Battery,dell vostro 14,W6WUGSM8
179,60,Chakrika Bandi,Audio issue,4/16/2024,Speakers,dell latitude 5500,UI4GBVAE
180,1204,Indira Banerjee,Keyboard issue,2/6/2022,Keyboard,dell alienware 17,23ZL4VNK
181,1130,Ekavir Singhal,Keyboard issue,4/29/2022,Keyboard,dell vostro 14,V1QG9E9B
182,952,,Battery replacement,7/23/2023,Battery,DELL VOSTRO 14,CEAEY82Z
183,191,Geetika Dass,Overheating problem,9/1/2024,Cooling Fan,dell vostro 14,4YNOM336
184,887,Daksha Agarwal,Keyboard issue,5/3/2023,Keyboard,dell latitude 5500,HZM87ZLC
185,1220,Anay Sane,Audio issue,2/2/2022,Speakers,dell latitude 5500,4EQHNMXL
186,748,Anvi Kata,Overheating problem,11/7/2022,Cooling Fan,dell vostro 14,1M64AXZF
187,666,Victor Soman,Keyboard issue,11/26/2023,Keyboard,dell xps 13,HF45M5W7
188,1926,Devika Sankaran,Battery replacement,4/19/2022,Battery,dell vostro 14,ZKIZOOYL
189,305,Januja Varkey,Keyboard issue,11/9/2023,Keyboard,dell latitude 5500,BRIUVD6J
190,593,Abha Dayal,Battery replacement,,Battery,dell xps 13,EIF8WN5X
191,714,Ucchal Barad,Keyboard issue,10/10/2023,Keyboard,dell vostro 14,ILMRCAWP
192,204,Agastya Samra,Audio issue,7/15/2023,Speakers,dell inspiron 15,I0DKQ4OM
193,1030,Reyansh Kalita,Overheating problem,1/19/2024,Cooling Fan,dell latitude 5500,F1S5YIMA
194,1867,Ojas Purohit,Screen replacement,2/4/2023,Screen,dell inspiron 15,CTVAUOO0
195,861,Jeevika Kapur,Keyboard issue,5/1/2023,Keyboard,dell alienware 17,XYXSFPRB
196,1238,Leela Nazareth,Battery replacement,11/9/2023,Battery,dell xps 13,Y1LZF40R
197,582,Ekavir Singhal,Screen replacement,3/21/2024,Screen,dell inspiron 15,O70CPQ2M
198,1787,Bhavini Manne,Overheating problem,4/10/2022,Cooling Fan,dell vostro 14,YUFMXX0F
199,923,,Audio issue,11/12/2022,Speakers,dell xps 13,BHOOLDJ7
200,636,Orinder Kale,Battery replacement,1/11/2025,Battery,dell inspiron 15,BRIUVD6J
201,1519,Jai Datta,Audio issue,,Speakers,DELL XPS 13,2EDQA503
202,1215,Anamika Bhargava,Screen replacement,3/4/2022,Screen,dell inspiron 15,4OLN5LLW
203,1504,Chakrika Bandi,Audio issue,1/17/2024,Speakers,dell alienware 17,YYDPAD0K
153,1485,Shravya Das,Audio issue,11/15/2022,Speakers,dell inspiron 15,D22Q05LH
205,291,Gaurang Ramanathan,Screen replacement,3/18/2024,Screen,dell alienware 17,I4TPE2M3
206,1225,Baljiwan Talwar,Audio issue,11/1/2024,Speakers,dell xps 13,7YPPCBB2
207,1652,Vedant Mann,Keyboard issue,10/2/2023,Keyboard,dell latitude 5500,8Y0AUTBS
208,834,Rehaan Babu,Keyboard issue,8/26/2024,Keyboard,dell vostro 14,H9YMQR5M
209,1442,Pooja Parmar,Audio issue,3/16/2022,Speakers,dell latitude 5500,SHGK8YYG
210,1344,Ria Nair,Keyboard issue,,Keyboard,dell xps 13,A756LNDN
211,1991,Orinder Kale,Keyboard issue,11/23/2022,Keyboard,dell xps 13,JCHQYQMN
212,1074,Nachiket Ahuja,Audio issue,2/8/2024,Speakers,dell inspiron 15,QQSMUIIG
213,1523,Keya Karan,,10/12/2023,,dell vostro 14,BVGF9J8O
214,1643,Shravya Das,Screen replacement,10/13/2024,Screen,dell inspiron 15,VMGL92B5
215,1755,Geetika Dass,Audio issue,7/21/2024,Speakers,dell xps 13,RWPEY5A7
33,1335,Ekavir Singhal,Battery replacement,5/5/2022,Battery,dell inspiron 15,2ID5J0ST
217,1978,Aadi Prabhakar,Screen replacement,10/1/2024,Screen,dell alienware 17,LAO3AGUA
218,838,Peter Narain,Screen replacement,7/19/2022,Screen,dell xps 13,1AASGM8T
219,1545,Samaksh Sheth,Battery replacement,11/8/2023,Battery,dell latitude 5500,4T0IY179
220,800,Anay Sane,Keyboard issue,7/19/2024,Keyboard,dell latitude 5500,44HSC71G
221,358,Nihal Tripathi,Screen replacement,10/24/2023,Screen,dell latitude 5500,NK112S1M
222,631,Mitesh Nori,Keyboard issue,9/6/2023,Keyboard,dell alienware 17,PJ9WGQQH
223,951,Geetika Dass,Audio issue,12/3/2022,Speakers,dell inspiron 15,2GKLILH3
53,1949,Rehaan Babu,Audio issue,1/2/2023,Speakers,dell xps 13,5F4XRUJ5
225,990,Daksha Agarwal,Screen replacement,8/29/2022,Screen,dell latitude 5500,DUD9PWQY
226,1819,Peter Narain,Screen replacement,7/7/2023,Screen,DELL LATITUDE 5500,BJQ4MRJF
227,755,Reyansh Kalita,Audio issue,4/16/2022,Speakers,dell latitude 5500,YKB044A2
228,1227,Baljiwan Talwar,Overheating problem,5/20/2022,Cooling Fan,dell vostro 14,CGOP5UKT
229,217,Jyoti Chacko,Keyboard issue,3/6/2023,Keyboard,dell alienware 17,3VQ6BBSW
230,892,Caleb Bhandari,Audio issue,10/26/2023,Speakers,dell alienware 17,7J5K8VDD
231,1932,Tarak Parmer,Battery replacement,4/13/2024,Battery,dell inspiron 15,7YCEND5H
232,1677,Jyoti Chacko,Screen replacement,4/3/2024,Screen,dell xps 13,EMUFNJR4
233,1216,Kashvi Nagi,Overheating problem,7/31/2022,Cooling Fan,dell inspiron 15,EAQFFBBM
234,867,Bhavna Chaudhuri,Keyboard issue,8/25/2023,Keyboard,dell inspiron 15,TYK20AZ6
235,633,Zaitra Chaudry,Audio issue,4/7/2024,Speakers,dell xps 13,GGD9RCSV
236,968,Onveer Ramaswamy,Audio issue,12/25/2023,Speakers,dell inspiron 15,DAKY81HQ
237,1558,Tarak Parmer,Keyboard issue,3/11/2023,Keyboard,dell xps 13,6SEVJJA3
238,211,Nathaniel Chopra,Audio issue,5/30/2024,Speakers,dell latitude 5500,TIBONTPS
239,1078,Bhavna Chaudhuri,Keyboard issue,6/13/2022,Keyboard,dell vostro 14,4E624BNS
213,1106,Ucchal Barad,Keyboard issue,7/28/2022,Keyboard,dell inspiron 15,L07XGLWR
241,749,Ucchal Barad,Battery replacement,11/27/2023,Battery,dell inspiron 15,77ZTFRQI
242,352,Guneet Saha,Battery replacement,8/1/2024,Battery,dell xps 13,LTDFPW7X
243,397,Orinder Kale,Battery replacement,1/29/2024,Battery,dell latitude 5500,UI4GBVAE
244,1743,Samaksh Sheth,Overheating problem,,Cooling Fan,dell vostro 14,S6DLBWSF
245,150,Caleb Bhandari,Overheating problem,5/24/2023,Cooling Fan,dell vostro 14,FWXLBJX3
246,1990,Shravya Das,Keyboard issue,1/4/2024,Keyboard,dell vostro 14,P3400YJU
247,1821,Jyoti Chacko,Screen replacement,6/3/2024,Screen,dell xps 13,UKI7DDLZ
248,83,Pooja Parmar,Screen replacement,5/12/2024,Screen,dell xps 13,NK2NYJ2W
249,1469,Vyanjana Bedi,Overheating problem,9/29/2023,Cooling Fan,dell xps 13,8LWDZ8CG
250,628,Bachittar Purohit,Overheating problem,9/18/2023,Cooling Fan,dell inspiron 15,WXY2OVZT
251,1232,Ojas Purohit,Overheating problem,10/8/2024,Cooling Fan,dell alienware 17,KSUGGKC3
252,914,Januja Varkey,Keyboard issue,1/6/2024,Keyboard,dell vostro 14,6CY903YE
253,1429,Aadi Prabhakar,Overheating problem,,Cooling Fan,dell latitude 5500,1DOHV5LY
254,1338,Bhavna Chaudhuri,Battery replacement,11/9/2024,Battery,dell alienware 17,2QQ2H6P9
255,1661,Chatura Sami,Screen replacement,7/13/2022,Screen,DELL ALIENWARE 17,LTSCLANZ
256,1803,Victor Soman,,12/18/2022,,dell latitude 5500,6XXJYAF1
257,204,Sanya Rama,Overheating problem,10/12/2024,Cooling Fan,dell alienware 17,NB0AP6VM
258,52,Tarak Parmer,Battery replacement,9/14/2024,Battery,dell inspiron 15,63TN4JOB
259,1981,Geetika Dass,Audio issue,9/23/2024,Speakers,dell alienware 17,9X6V1V36
260,1119,Devika Sankaran,Overheating problem,12/22/2023,Cooling Fan,dell alienware 17,3GPR9IYK
261,1240,Unni Kashyap,Battery replacement,7/17/2023,Battery,dell inspiron 15,H2LPWOAI
262,652,Januja Varkey,Audio issue,8/21/2024,Speakers,dell vostro 14,RWTICX7I
263,355,Guneet Saha,,1/16/2025,,dell inspiron 15,IZT0IXA0
264,968,Anvi Kata,Screen replacement,12/17/2024,Screen,dell alienware 17,OY0BL9C9
265,1287,Devika Sankaran,Audio issue,1/23/2022,Speakers,dell vostro 14,O9JL7J3C
11,1249,Unnati Mandal,Screen replacement,10/24/2023,Screen,dell vostro 14,T53MOBJR
267,8,Indira Banerjee,Audio issue,5/26/2022,Speakers,dell alienware 17,3KCRP9S1
268,1140,Maya Parsa,Overheating problem,5/31/2024,Cooling Fan,dell alienware 17,UKE6GYBR
269,855,Jai Basu,Screen replacement,8/15/2022,Screen,dell vostro 14,SD169HPR
270,88,Yashica Kota,Battery replacement,10/18/2023,Battery,dell alienware 17,V8X4XK8X
271,691,Victor Sinha,Overheating problem,10/8/2022,Cooling Fan,dell vostro 14,I5AMPBTI
242,557,Sanya Rama,Overheating problem,6/21/2022,Cooling Fan,dell latitude 5500,AMFLWQNJ
220,1541,Unni Kashyap,Overheating problem,4/18/2022,Cooling Fan,dell vostro 14,TYXXAY0Z
274,642,Daksha Agarwal,Battery replacement,2/27/2022,Battery,dell inspiron 15,Q6K2QBR9
275,549,Devika Setty,Overheating problem,1/11/2024,Cooling Fan,DELL ALIENWARE 17,VKQNVC9N
276,1621,Anvi Kata,Audio issue,3/28/2023,Speakers,dell alienware 17,0HYASCEM
277,229,Ishani Nagar,Audio issue,9/9/2024,Speakers,dell xps 13,8FMFZL7L
278,382,Pavani Sanghvi,Audio issue,5/23/2024,Speakers,DELL XPS 13,A0PG35JE
279,1285,Anvi Kata,,8/14/2022,,dell vostro 14,6U8SQAUZ
