Customer_ID,Customer_Name,Email,Phone_Number,Address,Customer_Sentiment
46,Chatresh Kota,qabilmital@example.com,7052945896,"33/13, Sarma Marg, Farrukhabad-693311",Negative
47,Gautami Mangat,banerjeevyanjana@example.com,9.10669E+11,"04/472, Ganguly Zila, Katni-599800",Positive
48,Lakshit Seshadri,zdora@example.com,84190361,"H.No. 18, Buch, Bangalore 370921",Negative
49,Megha Ramakrishnan,zshenoy@example.org,8682372577,"86/252, Sabharwal Circle, Ambala-379376",Negative
50,Balvan Wali,behlvictor@example.com,4668104353,"68/527, Minhas Path, Serampore-101819",Positive
51,Dakshesh Nazareth,sarmaqasim@example.net,9.18165E+11,"H.No. 719, Patla Chowk, Raichur-090434",Negative
52,,zdeshmukh@example.net,7389484767,"186, Loke Nagar, Farrukhabad-889943",Negative
53,Gagan Kar,chaman79@example.net,9.11462E+11,"H.No. 996, Dara Chowk, Chennai 027090",Positive
54,Akshay Issac,modykamala@example.com,1172871139,"H.No. 96, Merchant Zila, Jammu-944722",Negative
55,Aarav Parsa,suhani67@example.org,6155560822,"H.No. 177, Bala Ganj, Haldia 728569",Positive
56,Advika Dhingra,eshroff@example.org,1874090508,"61/934, Srivastava Street, Saharanpur-290892",Negative
57,Thomas Shankar,daksha78@example.net,9.10767E+11,"00/383, Dube Ganj, Saharanpur 300455",Negative
58,Damini Kari,girindra48@example.net,4034992381,"14/680, Amble Chowk, Nagaon 171277",Negative
59,Caleb Golla,kevinganesan@example.com,9.15098E+11,"116, Muni Chowk, Bharatpur-555514",Negative
60,Hiral Vyas,ucchallall@example.com,9.19987E+11,"60/74, Andra Street, Dehri 053701",Positive
61,Osha Parekh,jagvi38@example.org,4487680840,"69/52, Barman, Indore-055814",Positive
62,Nirja Modi,bswamy@example.com,4140488549,"76, Viswanathan Ganj, Noida-629306",Negative
63,Lipika Khalsa,xitinath@example.org,9.10547E+11,"39/460, Kadakia Nagar, Jorhat-241487",Negative
64,Gautami Sabharwal,lajita65@example.net,9.10222E+11,"97, Johal Chowk, Warangal 195212",Negative
65,Tanveer Suresh,shafalak@example.com,2387963935,"598, Khalsa Ganj, Nagpur-917837",Positive
66,Nandini Thaker,mohanhemani@example.org,8176938526,"24/270, Basak Circle, Naihati-917187",Negative
67,Balvan Reddy,jhari@example.com,9.14644E+11,"24/368, Balay Circle, Uluberia-660380",Negative
68,Yashvi Pandey,janujauppal@example.com,9.11753E+11,"076, Deshmukh Road, Phagwara 958424",Positive
69,Sanaya Randhawa,hrandhawa@example.net,9.14973E+11,"21/00, Natt Marg, Dewas 831617",Positive
70,Harshil Karan,aditya85@example.com,9.14178E+11,"H.No. 75, Krishnan Street, Agartala 388168",Negative
71,Faqid Narasimhan,vkaran@example.org,1023279293,"289, Sastry Zila, Delhi 789510",Negative
72,,,9.18746E+11,"880, Bahri Chowk, Bhind 202991",Positive
73,Anay Chaudhry,pavani63@example.net,8627079946,"94/78, Ramanathan Circle, North Dumdum-720936",Negative
74,Inaya Sathe,,4711767105,"32/120, Garg Ganj, Yamunanagar 058206",Positive
75,Unni Badal,benjaminchaudhry@example.net,9.18622E+11,"H.No. 849, Pillay Circle, Kumbakonam-665775",Positive
76,Upadhriti Oza,priya02@example.com,6398189093,"53, Dani Circle, Vadodara 796335",Negative
77,Simon Bora,knagar@example.org,9.12679E+11,"H.No. 818, Srinivasan Nagar, Giridih-471344",Positive
78,Bhavini Jhaveri,rajrehaan@example.net,9.10332E+11,"08, Andra Marg, Kavali-376634",Positive
79,Kavya Parmer,hmahajan@example.net,1424257591,"H.No. 24, Chada Road, Kishanganj 755077",Positive
80,Abha Shan,mallickpushti@example.org,2718479062,"H.No. 799, Apte, Ballia 781266",Positive
81,Krishna Pandit,oradhakrishnan@example.net,2657248014,"H.No. 702, Chauhan Chowk, Shimla-045173",Positive
82,Zaid Kala,ayushdevan@example.net,2335441223,"H.No. 60, Madan Zila, Sagar-137049",Positive
83,Robert Nanda,majumdardivya@example.org,9.1145E+11,"20/60, Datta Zila, Khora  047484",Positive
84,Gayathri Chaudhari,yug92@example.com,9.17267E+11,"86, D’Alia Zila, Karawal Nagar 273160",Negative
85,Abhimanyu Roy,rajujanani@example.com,2976151943,"H.No. 296, Comar Zila, Howrah 532112",Negative
86,David Khalsa,varghesecharan@example.com,9.1635E+11,"02/710, Chaudhari Marg, Ulhasnagar-626744",Positive
87,,udantsura@example.net,9.1315E+11,"H.No. 59, Kota, Kirari Suleman Nagar 283477",Negative
88,Saumya Saran,tpingle@example.org,6418077734,"H.No. 08, Varughese Marg, Panipat-738831",Negative
89,Ayushman Desai,ikota@example.org,667510026,"03/66, Choudhury Nagar, Rajpur Sonarpur-418814",Negative
90,Bachittar Patla,mmangal@example.net,7618329868,"35, Gulati Marg, Begusarai 684855",Negative
91,Daniel Sandal,kaurniharika@example.net,9.15356E+11,"88, Bandi Chowk, Parbhani-605550",Negative
92,Harini Grover,bakhshisalvi@example.com,2438645326,"93/795, Guha Circle, Pudukkottai 027972",Positive
93,Ayush Subramanian,rehaanparekh@example.net,8009637564,"741, Deep Zila, Tenali-649374",Positive
94,Qabil Deo,amaratank@example.com,3959037291,"08/687, Sahota Road, Mau 718862",Negative
95,Nihal Malhotra,kchandra@example.net,9015766194,"37, Agate Circle, Cuttack 542048",Negative
96,Samuel Jha,ccomar@example.net,3144974330,"H.No. 839, Prabhu, Jamnagar-644789",Positive
97,Aadi Soni,ykeer@example.com,9258203222,"61/080, Dada Chowk, Nadiad-715872",Positive
98,Neelima Mangal,subramanianjeevika@example.net,9.1791E+11,"05, Koshy Circle, Giridih-094321",Negative
99,Bachittar Halder,chatura66@example.com,9.16274E+11,"30, Varkey Marg, Haldia-324795",Negative
100,Wriddhish Banik,ubikaray@example.org,1275866786,"76, Bedi Chowk, Kharagpur 449897",Positive
101,Forum Wali,devanshpathak@example.org,9.12286E+11,"H.No. 005, Handa Path, Vijayanagaram-923589",Positive
102,Inaya Chadha,ekantikadas@example.org,9191046263,"H.No. 14, Chauhan Road, New Delhi-687841",Positive
103,Nirja Sunder,nachiketbhagat@example.net,9.18433E+11,"H.No. 093, Maharaj Ganj, Thanjavur-688906",Positive
104,Ansh Mand,balveersheth@example.net,7254868876,"00/600, Warrior Chowk, Dhule-770100",Negative
105,Ayaan Palla,harshagarwal@example.net,7819394159,"H.No. 816, Varghese Ganj, Ramagundam 295550",Positive
106,Teerth Thaker,sachimuni@example.org,5893378,"H.No. 770, Mitter Zila, Jaipur 696828",Negative
107,,sacharreva@example.org,3321282948,"H.No. 90, Tiwari Path, Kolkata-446629",Positive
108,Ayushman Narain,boseishita@example.net,7914310457,"H.No. 28, Mohanty, Thanjavur 990006",Negative
109,Dev Choudhary,abdulsami@example.net,6681979151,"184, Rajan Path, Howrah-567651",Positive
110,Agastya Barman,kamya16@example.net,5836251999,"18/51, Cherian Road, Surendranagar Dudhrej 683830",Negative
111,Manan Sachdeva,bhavyamani@example.org,9.17437E+11,"60/90, Narang Street, Madurai-383132",Positive
112,Bhanumati Tripathi,imahal@example.net,9.17237E+11,"04/779, Andra Road, Kavali 900465",Positive
113,Mitali Desai,lokekavya@example.com,412366584,"460, Parikh Circle, Miryalaguda-074216",Positive
114,Kashvi Yogi,farisbath@example.net,3482063058,"64, Dalal Path, Asansol 977015",Positive
115,Gayathri Banik,mohini75@example.com,9.16639E+11,"23/449, Das Nagar, Belgaum 273655",Positive
116,Chaman Manne,braju@example.com,9.1864E+11,"01/973, Swamy Path, Hosur-683934",Positive
117,Abeer Master,irattan@example.com,9.13127E+11,"25/98, Seth Road, Aligarh-518170",Negative
118,Jairaj Dass,tkapur@example.com,1229969804,"77/87, Nayak Nagar, Suryapet-861894",Positive
119,Sneha Sarin,bmurty@example.org,9.11563E+11,"36/18, Peri Path, Nagpur-359956",Negative
120,Mitesh Bajaj,paniniparmar@example.com,9998093081,"H.No. 570, Shah Circle, Begusarai-182638",Positive
121,Anika Parekh,,4525752239,"14, Cheema Circle, Tirupati 915598",Negative
122,Omya Mutti,tsuri@example.org,9.1219E+11,"762, Khosla Nagar, Ulhasnagar 522096",Positive
123,Ekantika Keer,pdar@example.org,5443607747,"760, Hayre Chowk, Thiruvananthapuram 693039",Positive
124,Reyansh Dhaliwal,aishani54@example.com,1203951769,"871, Sengupta Road, Gopalpur-477206",Negative
125,Wriddhish Zachariah,pathakradha@example.org,2123014060,"74/43, Krishna Road, Tadipatri 478985",Positive
126,Fiyaz Chahal,hravi@example.org,2141553005,"804, Mall Street, Kadapa-191118",Positive
127,Rishi Sahota,ebaral@example.net,8773686100,"H.No. 79, Bhattacharyya Zila, Srikakulam 785773",Positive
128,Nandini Barad,sethihemangini@example.net,771816566,"56/589, Brar Path, Raipur 263864",Positive
129,Dayamai Panchal,chakradharmander@example.org,9.17481E+11,"H.No. 678, Dhar Path, Siliguri 579445",Positive
130,Gaurika Chaudhari,jbabu@example.net,4318633509,"69/664, Varughese Ganj, Ramagundam-961007",Positive
131,Max Goswami,parth08@example.org,9.16078E+11,"299, Doctor Chowk, Meerut 381840",Negative
132,Harsh Radhakrishnan,,7332301562,"28/88, Korpal Chowk, Bhilai-847084",Positive
133,Yauvani Narula,ladjeremiah@example.com,3984150876,"H.No. 86, Verma Circle, Korba 877578",Positive
134,Balhaar Raman,gulatiunni@example.net,9.17131E+11,"H.No. 561, Sunder Circle, Latur-605933",Negative
135,Hritik Parmer,rajata33@example.net,4756434256,"42, Mitter Zila, Pali-463004",Negative
136,Jacob Gera,krishnanraagini@example.net,3643449242,"H.No. 75, Soni Chowk, Kadapa-307634",Positive
137,Ikbal Thaman,dayita17@example.net,5235467649,"89/03, Rege Chowk, Chapra 472580",Positive
138,Dominic Dewan,xbhalla@example.com,9.11507E+11,"27/441, Verma Street, Muzaffarnagar-033308",Positive
139,Ekta Guha,vohrachameli@example.net,152699146,"H.No. 19, Gara Circle, Kharagpur 034100",Negative
140,Viraj Sundaram,devansh16@example.org,9.13417E+11,"H.No. 21, Nayak Nagar, Bangalore 929968",Positive
141,Zansi Rau,dhillonfalguni@example.com,4117477136,"21, Dutta Nagar, Coimbatore-814260",Positive
142,Anamika Handa,bprabhu@example.net,9.11004E+11,"H.No. 855, Pau Street, Unnao 545044",Negative
143,,zilmilsodhi@example.net,2134358175,"12/37, Cheema Street, Delhi-640902",Positive
144,Upadhriti Bhavsar,yloke@example.org,3951654006,"H.No. 59, Jha Zila, Latur 030297",Negative
145,Kavya Sankar,rgera@example.com,9.10916E+11,"80, Sengupta Nagar, Amritsar 769136",Negative
146,Chameli Mangal,sameshnayar@example.net,3268124234,"65/709, Ramaswamy Path, Hindupur 222585",Positive
147,Luke Kannan,charorinder@example.net,4975630715,"17, Chandran Ganj, Silchar 444480",Negative
148,Pushti Raju,falgunimannan@example.com,9.18074E+11,"13/073, Chandra Chowk, Thane 107884",Positive
149,Megha Ratti,buchyatin@example.org,5665738169,"H.No. 48, Varughese Path, Dhanbad-353182",Negative
150,Patrick Hora,xboase@example.org,7665309074,"15/690, Suresh Nagar, Sri Ganganagar-030239",Negative
151,Manya Purohit,wakeetakapadia@example.net,9188288765,"572, Kibe Street, Amroha 134651",Positive
152,,taggarwal@example.com,781598981,"826, Rama Marg, Firozabad 541422",Negative
153,Abha Sama,savantchanakya@example.org,1393934498,"932, Baria Circle, Udaipur-215800",Positive
154,Avni Bahl,dayitagolla@example.com,101184356,"07, Sood Chowk, Sonipat-336318",Negative
155,Oscar Ben,onveerkarpe@example.org,9081011688,"02/54, Mann Chowk, Ghaziabad-609949",Negative
156,Qadim Varghese,nlala@example.org,7596680704,"H.No. 86, Khatri Zila, Meerut 255130",Positive
157,Wyatt Sami,narulakai@example.com,7988396100,"H.No. 025, Sani Street, Panchkula 082477",Positive
158,Isaac Bansal,pallabrinda@example.org,810233613,"13/87, Rajagopalan, Saharsa-059618",Positive
159,Laksh Tella,iagrawal@example.net,979191741,"91, Rao Marg, Narasaraopet 563078",Negative
160,Caleb Babu,sharmaalka@example.net,9.15427E+11,"17/83, Venkataraman, Rajkot 833727",Negative
161,Unni Wason,shenoylucky@example.org,9.1808E+11,"131, Hora Chowk, Gurgaon-553795",Negative
162,Lekha Zacharia,samakshsetty@example.com,6737249529,"H.No. 490, Sandhu Path, Agartala 132471",Negative
163,Jagat Krish,bhattiwatika@example.net,9.13056E+11,"10/87, Sarna Marg, Hospet-200855",Negative
164,Rohan Ratta,gauranggara@example.com,9.13769E+11,"91/57, Kumar Marg, Panvel 405131",Positive
165,Irya Majumdar,kallakiaan@example.net,5562936989,"H.No. 23, Murty, Bettiah-069788",Positive
166,Samuel Saran,wasontriya@example.org,150928387,"H.No. 058, Tripathi Path, Bharatpur-921921",Negative
167,Hritik Jayaraman,nathansarma@example.org,9.15118E+11,"73/80, Bakshi Circle, Gangtok-509680",Positive
168,Quincy Sengupta,wrideshparmer@example.net,4501273954,"098, Hegde Nagar, Aizawl-197172",Positive
169,Jai Korpal,januja76@example.net,2141179924,"313, Narula Nagar, Malegaon-585523",Positive
170,Wridesh Munshi,labanrai@example.org,5451113381,"H.No. 444, Chokshi Path, Imphal-443955",Positive
171,Shravya Puri,baghyawati23@example.net,3918942023,"268, Memon Nagar, Gandhidham 851085",Negative
172,Waida Mandal,kpuri@example.org,8283133791,"38, Borah, Tinsukia 775758",Negative
173,,gsood@example.com,553958670,"23/476, Dutta Nagar, Ramgarh 785780",Positive
174,Qadim Shankar,falansama@example.com,9.1284E+11,"626, Sengupta Ganj, Solapur 248322",Positive
175,Samarth Naik,annejairaj@example.org,9.12618E+11,"H.No. 059, Krishnan Zila, Panchkula-055628",Negative
176,Yoshita Varkey,radha50@example.com,2174809519,"94/85, Grover Road, Kozhikode 794597",Negative
177,Dalaja Ram,,3053016876,"91/88, Nori Zila, Sri Ganganagar 883904",Positive
178,Jeremiah Natarajan,gmuni@example.org,9.1142E+11,"17/240, Lal Zila, Chennai 650891",Negative
179,Naksh Lal,ayushmankata@example.net,3195553204,"23, Chana Nagar, Panipat-467669",Positive
180,Bhavna Nadig,adya44@example.org,4558755476,"931, Dada Chowk, Bhagalpur 616615",Positive
181,Adya Sarma,jasmitmodi@example.org,4641764684,"92, Nayar, Dibrugarh-297420",Negative
182,Maya Kannan,chokshipranav@example.com,7167196330,"43/230, Bala Nagar, Tinsukia 546304",Negative
183,Xavier Palla,madhavbalasubramanian@example.net,706540774,"369, Dube Marg, New Delhi-112882",Positive
184,Nidra Jayaraman,upadhriti15@example.com,9994398155,"H.No. 452, Sabharwal Zila, Naihati-678824",Negative
185,Nathan Deshmukh,,9.17798E+11,"54/268, Lanka Chowk, Durg-510639",Negative
186,Ekaraj Muni,forumdevi@example.com,5768603052,"74/439, Samra Street, Patna-043722",Negative
187,Qadim Varty,sanya05@example.org,4230671323,"48, Tiwari Nagar, Kanpur 530358",Positive
188,Ekalinga Pai,cdalal@example.org,7869526596,"H.No. 571, Murty Nagar, Bhalswa Jahangir Pur 923450",Negative
189,Nathan Walia,golaikshita@example.net,9074315682,"389, Pau Road, Dindigul-875112",Positive
190,Anay Baral,ranbir25@example.org,4900026955,"71/97, Purohit Chowk, Vadodara-892303",Negative
191,Hredhaan Chacko,azaanbali@example.org,9.17643E+11,"44/486, Sahni Circle, Kalyan-Dombivli 619410",Positive
192,Zinal Subramanian,,9.10014E+11,"192, Venkataraman Path, Jaunpur-930410",Negative
193,Bakhshi Bhandari,shettywidisha@example.com,9386772929,"07/956, Sengupta Circle, Deoghar-483806",Positive
194,Ekalinga Ram,siyadave@example.org,2774046644,"H.No. 324, Dugal Road, Tiruchirappalli-453122",Positive
195,Mason Issac,,9.19994E+11,"372, Toor Marg, Ramgarh-635046",Positive
196,Prisha Chander,keyagulati@example.net,2318250679,"54/75, Saxena Marg, Bhatpara 954608",Negative
197,Madhavi More,alexandermandal@example.com,9.16947E+11,"H.No. 85, Kannan Marg, Kolkata 134775",Positive
198,Gabriel Basak,vbalay@example.org,7717519599,"44, Dube Chowk, Ambala-145527",Negative
199,Balendra Atwal,rbasak@example.org,9.18334E+11,"49/880, Kunda, Bhilai-429904",Negative
200,Rohan Bir,,9.14446E+11,"95/33, Nayar, Tiruppur 950589",Positive
201,Aachal Sampath,,2286588959,"10/76, Rout Nagar, Anand 262881",Negative
202,Vidhi Ganesh,hkar@example.net,9.12565E+11,"09/933, Tiwari Path, Hospet 185761",Positive
203,Chaaya Doshi,talwardevika@example.org,9.14237E+11,"53/930, Shetty Path, Pali-230867",Negative
204,Zarna Ramaswamy,simon05@example.org,1711469996,"18/226, Sarin Zila, Raebareli-230646",Negative
205,Advaith Sarma,nihal72@example.org,9.11703E+11,"H.No. 15, Pau, Bhiwani-730237",Negative
206,Abdul Sekhon,venkataramanlakshmi@example.net,9.15043E+11,"41/819, Babu Street, Jamnagar-004369",Positive
207,Abhiram Pant,kritikaagate@example.org,2571412519,"H.No. 12, Kari Nagar, Kozhikode 779559",Negative
208,Abeer Narang,vedhikasubramaniam@example.org,3149011052,"H.No. 88, Grewal Circle, Kumbakonam-514721",Positive
209,Pranav Kari,abharaghavan@example.net,7785109815,"01/34, Chadha Road, Morena-425621",Positive
210,Keya Saha,zaitra64@example.com,6010914514,"92/688, Kashyap Chowk, Purnia-713236",Negative
211,Krishna Roy,kaiguha@example.com,9.17248E+11,"47, Shukla, Nanded-214093",Positive
212,Warhi Suri,randhawaunnati@example.com,9.12747E+11,"32, Cherian Road, Sasaram 324236",Positive
213,Kai Varkey,ipadmanabhan@example.org,250525540,"H.No. 26, Naidu Ganj, Satna-209081",Negative
214,Falan Talwar,avni43@example.com,1035276692,"39, Baria Marg, Khammam-880543",Positive
215,Wridesh De,mahikamukherjee@example.com,9395498024,"H.No. 72, Vyas Zila, Etawah-617139",Negative
216,Nakul Khurana,ddora@example.com,9262587911,"433, Sibal Road, Sambalpur-834791",Positive
217,Zaid Rajan,gunbirmukhopadhyay@example.com,128924406,"28/534, Kari Road, Mangalore-885512",Positive
218,Lekha Mangat,krishnapillai@example.org,330624809,"14/36, Ramachandran Road, Silchar-208383",Negative
219,Qushi Sandhu,maanas58@example.com,9.14866E+11,"79/21, Dayal Marg, Jorhat-059854",Negative
220,Bachittar Hayer,,9.16749E+11,"83/79, Rai, Rajkot-162444",Positive
221,Udant Narayan,aadi02@example.net,8676923173,"70, Dhaliwal Ganj, Sasaram-888681",Negative
222,Faqid Raghavan,aarush04@example.com,6556139800,"65/891, Sabharwal Zila, Bhiwani-967420",Negative
223,Divya Seth,tbiswas@example.com,896825391,"139, Ganesan Zila, Eluru 374734",Positive
224,Warda Bail,hemang91@example.net,9.14239E+11,"28, Raval Street, Chennai 625434",Positive
225,Umang Dhawan,dhriti60@example.com,6644334115,"H.No. 740, Ramanathan Road, Ghaziabad-225156",Positive
226,Zehaan Halder,lukeborah@example.com,388629923,"31/88, Pant Nagar, Bidar 216529",Positive
227,Lakshit Master,tanveermenon@example.com,9.1599E+11,"90/650, Sinha Street, Darbhanga-935632",Positive
228,Christopher Apte,ramandavid@example.org,2346908234,"343, Ramanathan Street, Miryalaguda-250341",Negative
229,Dhriti Kala,qdixit@example.net,577335934,"19/03, Sekhon Nagar, Dehri-893000",Positive
230,Ishani Sandhu,vedantgade@example.com,6433363056,"88/41, Sinha Marg, Raipur 334868",Positive
231,,wrideshsen@example.com,8237393135,"H.No. 033, Saini Zila, Chittoor 521544",Positive
232,Harita Nadig,meerathakur@example.org,7235968767,"H.No. 34, Goswami Zila, Bareilly 869590",Positive
233,Varsha Reddy,,4486992844,"46/989, Mann Zila, New Delhi-491870",Negative
234,Anjali Sen,nayarekanta@example.org,1955467009,"849, Sinha Street, Faridabad 281363",Positive
235,Netra Behl,ishitachana@example.com,4060330443,"69/36, Handa Road, Bhagalpur-047128",Positive
236,Theodore Magar,mohammed93@example.com,6697672383,"H.No. 60, Chakrabarti Ganj, Udaipur-541273",Positive
237,Yamini Morar,pkannan@example.org,9.15736E+11,"518, Choudhury Road, Ramagundam-600603",Negative
238,Imaran Chhabra,abhimanyu74@example.com,7421992642,"37/58, Butala Nagar, Solapur-137799",Negative
239,,manipushti@example.net,7739226372,"49, Krishnamurthy Path, Sasaram 667593",Negative
240,Oviya Chawla,chaudharyati@example.net,7930705829,"09, Kar Road, Kanpur 781761",Negative
241,Naveen Jayaraman,jmore@example.org,3023445415,"92/435, Virk Street, Kota 270211",Positive
242,Warda Apte,ekanshshroff@example.com,3157746263,"00/17, Ghosh Path, Kishanganj 675026",Negative
243,Gabriel Bir,ridhi45@example.net,1989886302,"H.No. 05, Dara Circle, Sambalpur-073307",Negative
244,Reva Rao,bhavya64@example.com,3401520493,"170, Ram Street, Bhimavaram-179586",Negative
245,Leena Bail,nehasharaf@example.com,9.11717E+11,"79, Suresh Chowk, Khandwa-205512",Negative
246,Mekhala Deo,jbera@example.org,1245298135,"49/753, Handa Street, Anand-714088",Positive
247,Ansh Swaminathan,,9.13881E+11,"604, Bhasin Road, Ludhiana 524112",Positive
248,Kabir Sarkar,chatresh65@example.net,9.16942E+11,"23/991, Wali Zila, Mysore 498752",Positive
249,Veer Yogi,maneeshana@example.net,9.19342E+11,"16/554, Arya Zila, Tiruvottiyur-227149",Negative
250,Advaith Kale,csen@example.net,897140562,"636, Natt Ganj, Raipur-104474",Negative
251,Ishanvi Yohannan,kavyakunda@example.com,9.18686E+11,"H.No. 887, Master Zila, Bellary 202411",Negative
252,Mahika Raj,baradkrisha@example.net,9.10126E+11,"H.No. 50, Sane Chowk, Amritsar-526216",Negative
253,Raghav Shankar,lohitmanda@example.net,8080563921,"76/33, Chander Road, Mau-629934",Negative
254,Aachal Venkatesh,anandranbir@example.net,9.10186E+11,"37, Mander Zila, Anantapuram-662144",Negative
255,Omkaar Lall,mayakaur@example.com,2585758339,"H.No. 04, Chaudhry Marg, Bhimavaram 835949",Negative
256,Hitesh Hayre,duaabha@example.net,5730409802,"H.No. 68, Kashyap Road, Ballia-898160",Positive
257,Varenya Dara,rohan48@example.net,4629507570,"26/519, Ganesan Marg, Mehsana-650270",Positive
258,Raagini Gokhale,eandra@example.org,1747168125,"58, Khare Path, Satara 964668",Positive
259,Wridesh Kale,ekapadbehl@example.org,7283546951,"H.No. 144, Master Road, Jehanabad-221648",Positive
260,Xalak Ramakrishnan,uchaudhuri@example.com,4125181845,"38/591, Dhaliwal Zila, Bhatpara-103448",Negative
261,Yachana Narain,finndoshi@example.net,9.13716E+11,"09/14, Gola Street, Kolhapur-649197",Positive
262,Arjun Mohanty,vasana27@example.org,9.10535E+11,"299, Deshpande Marg, Morbi 028381",Positive
263,Girik Oak,mandtanveer@example.com,9.11841E+11,"86/47, Kala Circle, Machilipatnam-533609",Positive
264,Shaurya Mani,wablegagan@example.org,3655385096,"90, Chowdhury Zila, Guntur-278305",Negative
265,Nachiket Khatri,lucky24@example.org,5073873206,"H.No. 077, Tripathi, Raipur 942340",Positive
266,Quincy Hayer,ckuruvilla@example.org,2218759603,"98/176, Golla Path, Guwahati 113992",Negative
